PLAYER,TEAM,AGE,GP,MIN,W,L,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,SALARY
Kevin Love,CLE,29,59,28.0,37,22,17.6,5.7,12.4,2.3,5.6,4.0,4.5,1.7,7.5,1.7,1.5,0.7,0.4,22642350.0
Kevon Looney,GSW,22,66,13.8,45,21,4.0,1.7,2.9,0.0,0.1,0.6,1.2,1.3,2.0,0.6,0.5,0.5,0.8,1471382.0
Khem Birch,ORL,25,42,13.8,14,28,4.2,1.6,3.0,0.0,0.0,1.0,1.5,1.7,2.6,0.8,0.5,0.4,0.5,815615.0
Khris Middleton,MIL,26,82,36.4,44,38,20.1,7.2,15.5,1.8,5.0,3.9,4.4,0.5,4.7,4.0,2.3,1.5,0.3,14100000.0
Klay Thompson,GSW,28,73,34.3,55,18,20.0,7.9,16.1,3.1,7.1,1.1,1.3,0.4,3.4,2.5,1.8,0.8,0.5,17826150.0
Kosta Koufos,SAC,29,71,19.6,22,49,6.7,3.1,5.5,0.0,0.0,0.5,1.0,2.1,4.5,1.2,0.7,0.7,0.5,8393000.0
Kris Dunn,CHI,24,52,29.3,19,33,13.4,5.5,12.8,0.8,2.6,1.6,2.2,0.5,3.8,6.0,2.9,2.0,0.5,4046760.0
Kristaps Porzingis,NYK,22,48,32.4,22,26,22.7,8.1,18.5,1.9,4.8,4.5,5.7,1.3,5.3,1.2,1.9,0.8,2.4,4503600.0
Kyle Anderson,SAS,24,74,26.7,41,33,7.9,3.1,5.9,0.3,0.8,1.4,2.0,1.1,4.2,2.7,1.3,1.6,0.8,2151704.0
Kyle Collinsworth,DAL,26,32,15.0,9,23,3.2,1.2,3.1,0.1,0.5,0.7,1.3,1.0,2.3,1.8,0.8,0.5,0.3,50000.0
Kyle Korver,CLE,37,73,21.6,43,30,9.2,3.0,6.6,2.2,5.2,0.9,1.0,0.1,2.1,1.2,0.8,0.4,0.4,7000000.0
Kyle Kuzma,LAL,22,77,31.2,34,43,16.1,6.1,13.5,2.1,5.6,1.9,2.7,1.1,5.1,1.8,1.8,0.6,0.4,1423560.0
Kyle Lowry,TOR,32,78,32.2,57,21,16.2,5.2,12.1,3.1,7.6,2.9,3.3,0.8,4.7,6.9,2.3,1.1,0.2,28703704.0
Kyle O'Quinn,NYK,28,77,18.0,28,49,7.1,2.9,5.0,0.1,0.2,1.3,1.6,1.6,4.5,2.1,1.3,0.5,1.3,4087500.0
Kyle Singler,OKC,30,12,4.9,5,7,1.9,0.6,1.8,0.2,0.4,0.6,1.1,0.1,0.8,0.2,0.3,0.1,0.0,4666500.0
Kyrie Irving,BOS,26,60,32.2,41,19,24.4,8.9,18.1,2.8,6.8,3.9,4.4,0.6,3.2,5.1,2.3,1.1,0.3,18868625.0
LaMarcus Aldridge,SAS,32,75,33.4,45,30,23.1,9.2,18.0,0.4,1.2,4.5,5.3,3.3,5.2,2.0,1.5,0.6,1.2,21461010.0
Lance Stephenson,IND,27,82,22.6,48,34,9.2,3.7,8.6,0.8,2.8,1.0,1.5,0.8,4.4,2.9,1.6,0.6,0.2,4180000.0
Lance Thomas,NYK,30,73,18.5,25,48,4.1,1.4,3.7,0.7,1.7,0.6,0.7,0.6,1.8,0.6,0.6,0.4,0.2,6655325.0
Langston Galloway,DET,26,58,14.9,28,30,6.2,2.2,5.9,1.3,3.8,0.6,0.7,0.2,1.4,1.0,0.3,0.6,0.1,6666667.0
Lauri Markkanen,CHI,21,68,29.7,23,45,15.2,5.5,12.7,2.1,5.9,2.1,2.4,1.2,6.3,1.2,1.2,0.6,0.6,3821640.0
LeBron James,CLE,33,82,36.9,50,32,27.5,10.5,19.3,1.8,5.0,4.7,6.5,1.2,7.5,9.1,4.2,1.4,0.9,33285709.0
Lonzo Ball,LAL,20,52,34.2,24,28,10.2,3.9,10.8,1.7,5.7,0.6,1.4,1.3,5.6,7.2,2.6,1.7,0.8,6286560.0
Lou Williams,LAC,31,79,32.8,42,37,22.6,7.4,16.9,2.4,6.6,5.5,6.2,0.5,2.0,5.3,3.0,1.1,0.2,7000000.0
Luc Mbah a Moute,HOU,31,61,25.6,52,9,7.5,2.7,5.7,1.0,2.8,1.1,1.6,0.4,2.7,0.9,1.1,1.2,0.4,2116955.0
Lucas Nogueira,TOR,25,49,8.5,36,13,2.5,1.0,1.6,0.1,0.4,0.4,0.6,0.4,1.4,0.4,0.3,0.5,0.9,2947305.0
Luis Montero,DET,25,2,4.0,1,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,50000.0
Luke Babbitt,MIA,29,50,14.3,15,35,5.2,1.8,4.3,1.2,3.1,0.3,0.4,0.1,1.8,0.6,0.4,0.2,0.1,1974159.0
Luke Kennard,DET,22,73,20.0,34,39,7.6,2.8,6.4,1.1,2.7,0.9,1.0,0.3,2.1,1.7,0.9,0.6,0.2,2759280.0
Luol Deng,LAL,33,1,13.1,0,1,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,17190000.0
Malachi Richardson,TOR,22,26,12.4,8,18,3.4,1.2,3.5,0.5,1.5,0.7,0.8,0.2,1.1,0.5,0.4,0.4,0.0,1504560.0
Malcolm Brogdon,MIL,25,48,29.9,25,23,13.0,5.1,10.5,1.3,3.4,1.6,1.8,0.5,2.8,3.2,1.4,0.9,0.3,1312611.0
Malcolm Delaney,ATL,29,54,18.8,16,38,6.3,2.0,5.3,0.9,2.3,1.4,1.7,0.2,1.7,3.0,1.2,0.6,0.1,2500000.0
Malik Beasley,DEN,21,62,9.4,34,28,3.2,1.2,2.9,0.5,1.3,0.4,0.5,0.2,0.9,0.5,0.4,0.2,0.1,1700640.0
Manu Ginobili,SAS,40,65,20.0,39,26,8.9,3.1,7.1,1.0,3.0,1.7,2.0,0.3,1.9,2.5,1.6,0.7,0.2,2500000.0
Marc Gasol,MEM,33,73,33.0,21,52,17.2,5.9,14.2,1.5,4.4,3.8,4.6,1.1,7.0,4.2,2.7,0.7,1.4,22642350.0
Marcin Gortat,WAS,34,82,25.3,43,39,8.4,3.5,6.8,0.0,0.0,1.3,2.0,2.2,5.4,1.8,1.2,0.5,0.7,12782609.0
Marcus Georges-Hunt,MIN,24,42,5.3,24,18,1.4,0.5,1.1,0.1,0.4,0.3,0.5,0.2,0.2,0.2,0.1,0.1,0.0,1312611.0
Marcus Morris,BOS,28,54,26.7,34,20,13.6,4.9,11.3,1.6,4.3,2.3,2.9,0.8,4.6,1.3,1.2,0.6,0.2,5000000.0
Marcus Smart,BOS,24,54,29.9,38,16,10.2,3.5,9.5,1.4,4.6,1.8,2.5,0.8,2.7,4.8,2.4,1.3,0.4,4538020.0
Mario Chalmers,MEM,32,66,21.5,21,45,7.7,2.5,6.7,0.8,2.9,1.8,2.1,0.2,2.2,3.0,1.8,1.2,0.2,2106407.0
Mario Hezonja,ORL,23,75,22.1,21,54,9.6,3.6,8.2,1.2,3.6,1.1,1.4,0.5,3.2,1.4,1.1,1.1,0.4,4078320.0
Markelle Fultz,PHI,20,14,18.1,11,3,7.1,3.2,7.9,0.0,0.1,0.7,1.5,0.8,2.3,3.8,1.2,0.9,0.3,7026240.0
