,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPM,TPA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
28,Khris Middleton,MIL,23,6,2,4,38.7,15.8,5.8,15.3,1.8,5.7,2.3,2.5,1.2,2.5,3.7,2,1.7,2.3,0.5,2.3,30.1,0,0,-11.2
27,Dwight Howard,HOU,29,17,9,8,33.8,16.4,6.2,10.7,0,0,4,9.7,3.6,10.4,14,1.2,2.2,1.4,2.3,3.5,43.7,13,0,0.5
26,Joe Johnson,BKN,34,6,2,4,41.6,16.5,5.7,15.7,2,6.8,3.2,4,0.8,6.8,7.7,4.8,0.8,1.2,0,2.7,35.6,1,0,-10.8
25,Jeff Teague,ATL,27,16,8,8,33,16.8,6.1,14.9,1.3,4.1,3.3,3.8,0.6,2.6,3.2,6.7,2.7,1.5,0.4,2.1,33.8,1,0,3.1
24,CJ McCollum,POR,23,5,1,4,33.2,17,6.4,13.4,2.2,4.6,2,2.6,0.2,3.8,4,0.4,1.2,1.2,0.2,2.6,25.4,0,0,3.2
23,John Wall,WAS,24,7,5,2,38.9,17.4,6.1,15.7,0.4,2.4,4.7,5.6,0.7,4,4.7,11.9,3.9,1.4,1.4,1.9,45.6,5,0,4.1
22,Isaiah Thomas,BOS,26,4,0,4,29.8,17.5,4.5,13.5,0.8,4.5,7.8,8,0.3,2.8,3,7,3.5,0.8,0,2.5,30.4,1,0,-1.3
21,Tim Duncan,SAS,39,7,3,4,35.7,17.9,7.6,12.9,0,0.1,2.7,4.9,2.7,8.4,11.1,3.3,1,1.3,1.4,3.7,43.3,6,0,2.4
20,Eric Gordon,NOP,26,4,0,4,35.8,18.5,7,15.8,3.3,8,1.3,1.5,0.5,1.8,2.3,3.8,2.5,0.5,0.5,2.8,27.3,0,0,-10
19,Klay Thompson,GSW,25,21,16,5,36.2,18.6,7.1,15.9,2.7,7,1.7,2.1,0.4,3.4,3.9,2.6,2,0.8,0.9,3,30.2,0,0,5.7
18,Kyrie Irving,CLE,23,13,10,3,35.7,19,6.2,14.2,2.1,4.6,4.5,5.3,0.8,2.8,3.6,3.8,1.5,1.3,0.8,2.2,34,1,0,4.2
17,Marc Gasol,MEM,30,11,6,5,37.8,19.7,6.5,16.4,0,0.2,6.8,8,1.7,8.5,10.3,4.5,1.5,0.9,1.7,3,45.2,6,0,-2.5
16,Brook Lopez,BKN,27,6,2,4,38.9,19.8,7.2,14.5,0,0,5.5,6.7,3.3,5.7,9,0.8,1,0.7,2.2,3,39.4,3,0,-3
15,DeMar DeRozan,TOR,25,4,0,4,39.7,20.3,8,20,0.8,2,3.5,4.3,1.3,5,6.3,5.8,2.5,1.5,0,3,38.4,1,0,-11.8
