,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPA,TPM,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
143,Taj Gibson,CHI,30,62,38,24,27.3,10.3,4.1,8.2,0,0,2.1,3,2.6,3.8,1.1,1.2,0.6,1.2,2.6,23.8,8,0,0.6
142,Alexey Shved,NYK,26,42,10,32,18.3,10.3,3.2,8,3.3,1.1154,2.9,3.6,0.5,1.8,2.5,1.1,0.7,0.1,1.1,18.4,2,0,-3.1
141,Marreese Speights,GSW,27,76,62,14,15.9,10.4,4.2,8.5,0.2,0.0556,2,2.3,1.4,2.8,0.9,1.1,0.3,0.4,2.5,18,1,0,2.4
140,Marcus Morris,PHX,25,81,39,42,25.2,10.4,4.1,9.4,3.9,1.3962,0.9,1.4,0.9,3.9,1.6,0.9,0.8,0.2,2.3,20.6,5,0,-0.8
139,Manu Ginobili,SAS,37,70,47,23,22.7,10.5,3.6,8.4,3.7,1.2765,2.1,2.9,0.4,2.6,4.2,2.2,1,0.3,2,22,3,0,4.5
138,Roy Hibbert,IND,28,76,34,42,25.3,10.6,4.2,9.3,0,0,2.2,2.7,2.1,5.1,1.1,1.4,0.2,1.6,2.8,25,18,0,-0.8
137,Brandon Bass,BOS,30,82,40,42,23.5,10.6,4.2,8.3,0.4,0.1124,2.1,2.6,1.7,3.2,1.3,1,0.5,0.4,1.7,19.9,5,0,-2.2
136,Anthony Morrow,OKC,29,74,42,32,24.4,10.7,3.9,8.3,4.4,1.9096,1.1,1.2,0.5,2.1,0.8,0.5,0.7,0.1,1.8,17.2,2,0,3
135,Michael Kidd-Gilchrist,CHA,21,55,27,28,28.9,10.9,4.1,8.8,0,0,2.7,3.9,2,5.6,1.4,1.1,0.5,0.7,2.1,24.6,12,0,1.3
133,Nene,WAS,32,67,37,30,25.3,11,4.6,9,0.1,0.02,1.8,3,1.3,3.9,1.8,1.9,1,0.3,2.7,22,2,0,2.5
133,Vander Blue,LAL,22,2,0,2,36.9,11,4.5,15,5,1,1,2.5,1,3.5,4,3,1.5,0,2,23.9,0,0,-19
132,Jodie Meeks,DET,27,60,29,31,24.4,11.1,3.7,8.9,3.5,1.2215,2.4,2.7,0.2,1.5,1.3,1,1,0.1,1.3,17.4,0,0,-1.6
131,Jeremy Lin,LAL,26,74,19,55,25.8,11.2,3.7,8.8,2.4,0.8856,2.9,3.6,0.4,2.3,4.6,2.2,1.1,0.4,2.6,23.7,3,0,-3.4
130,O.J. Mayo,MIL,27,71,39,32,23.9,11.4,4.2,9.9,3.9,1.3923,1.6,2,0.4,2.2,2.8,1.8,0.8,0.3,2.3,20,0,0,-0.9
129,Corey Brewer,HOU,29,80,42,38,26.1,11.5,4.3,10.1,2.9,0.7772,2.1,2.8,1,2.7,2.2,1.6,1.4,0.2,2.2,22.5,3,0,-0.4
128,Tim Hardaway Jr.,NYK,23,70,16,54,24,11.5,4,10.2,5.1,1.7442,1.8,2.2,0.2,2.1,1.8,1.2,0.3,0.2,1.7,17.2,0,0,-5
127,Amar'e Stoudemire,DAL,32,59,19,40,21.1,11.5,4.6,8.3,0.1,0,2.3,3.2,1.9,3.7,0.8,1.3,0.5,0.6,2.7,21.4,4,0,-0.9
126,Ersan Ilyasova,MIL,28,58,26,32,22.7,11.5,4.5,9.6,3.3,1.2837,1.2,1.8,1.4,3.4,1,0.8,0.6,0.3,2.6,20.8,6,0,0.4
125,DeAndre Jordan,LAC,26,82,56,26,34.4,11.5,4.6,6.5,0,0,2.3,5.7,4.8,10.1,0.7,1.3,1,2.2,3,38.9,47,0,7.6
124,Aaron Brooks,CHI,30,82,50,32,23,11.6,4.2,10,3.8,1.4706,1.8,2.1,0.4,1.6,3.2,1.9,0.7,0.2,2.3,19.4,1,0,2.5
123,David West,IND,34,66,32,34,28.7,11.7,4.9,10.4,0.3,0.06,1.8,2.4,1.6,5.2,3.4,1.8,0.7,0.7,2.4,27.4,7,0,-0.3
122,Draymond Green,GSW,25,79,64,15,31.5,11.7,4.3,9.7,4.2,1.4154,1.7,2.5,1.4,6.7,3.7,1.7,1.6,1.3,3.2,33.8,18,1,10.6
121,Danny Green,SAS,28,81,55,26,28.5,11.7,4,9.1,5.6,2.3408,1.4,1.6,0.7,3.6,2,1.1,1.2,1.1,2,25.5,2,0,5.3
120,Terrence Jones,HOU,23,33,24,9,27,11.7,4.8,9.1,1.1,0.3861,1.7,2.8,2.4,4.3,1.1,1.1,0.5,1.8,2.4,27.2,8,0,2.4
118,Dion Waiters,OKC,23,80,46,34,27.6,11.8,4.7,11.8,3.1,0.9207,1.5,2.2,0.5,1.9,2,1.4,1.1,0.3,1.9,20.4,1,0,0.7
118,Hassan Whiteside,MIA,26,48,18,30,23.8,11.8,5.1,8.1,0,0,1.6,3.3,3,7,0.1,1.2,0.6,2.6,2.7,32.2,22,1,-1.2
117,Carlos Boozer,LAL,33,71,18,53,23.8,11.8,5.2,10.5,0,0,1.3,2.1,1.6,5.2,1.3,1.3,0.6,0.2,2.6,22.9,10,0,-4.5
116,Langston Galloway,NYK,23,45,12,33,32.4,11.8,4.5,11.4,3.9,1.3728,1.4,1.7,0.8,3.4,3.3,1.4,1.2,0.3,2.9,24.8,0,0,-6
115,Paul Pierce,WAS,37,73,40,33,26.2,11.9,4,9,4.2,1.6338,2.2,2.9,0.6,3.4,2,1.3,0.6,0.3,2.2,21.3,2,0,2.2
114,Jordan Clarkson,LAL,23,59,11,48,25,11.9,4.5,10.1,2.1,0.6594,2.2,2.7,0.9,2.3,3.5,1.6,0.9,0.2,1.8,22.6,2,0,-4.1
113,Gerald Green,PHX,29,74,34,40,19.5,11.9,4.4,10.5,5.2,1.8408,1.3,1.6,0.4,2.1,1.2,1.4,0.6,0.2,2,17.6,0,0,0
112,Jabari Brown,LAL,22,19,4,15,29.9,11.9,3.7,8.9,3.3,1.2243,3.4,4.5,0.2,1.7,2.1,1.7,0.6,0.1,1.7,17.9,0,0,-6.7
111,Jarrett Jack,BKN,31,80,36,44,28,12,4.5,10.2,1.8,0.4806,2.5,2.8,0.2,2.8,4.7,2.4,0.9,0.2,1.8,23.5,5,0,-3.9
110,Jordan Hill,LAL,27,70,19,51,26.8,12,5.1,11.1,0.2,0.0546,1.8,2.4,2.5,5.5,1.5,1.5,0.5,0.7,2.3,25.9,22,0,-5.7
109,Evan Fournier,ORL,22,58,19,39,28.6,12,4.4,9.9,3.9,1.4742,1.8,2.5,0.5,2.2,2.1,1.4,0.7,0,2,19.1,0,0,-2.5
108,Jonas Valanciunas,TOR,23,80,47,33,26.2,12,4.7,8.2,0,0,2.7,3.5,2.7,6,0.5,1.4,0.4,1.2,2.8,26.6,22,0,-0.3
107,Donatas Motiejunas,HOU,24,71,48,23,28.7,12,5,9.9,1.9,0.6992,1.4,2.3,1.9,4,1.8,1.7,0.8,0.5,2.9,24,7,0,1.4
106,JR Smith,CLE,29,70,38,32,29.7,12.1,4.5,10.8,6.1,2.3363,0.8,1,0.4,2.7,2.8,1.4,1.2,0.3,2.3,23.1,0,0,2.3
105,Gerald Henderson,CHA,27,80,32,48,28.9,12.1,4.6,10.6,1.7,0.5627,2.3,2.7,0.5,3,2.6,1.4,0.6,0.3,1.7,21.4,2,0,-0.4
104,Ben McLemore,SAC,22,82,29,53,32.6,12.1,4.4,10.1,4.8,1.7184,1.6,2,0.4,2.6,1.7,1.7,0.9,0.2,2.7,20.1,0,0,-0.4
103,Kyle Korver,ATL,34,75,58,17,32.2,12.1,3.9,8,6,2952,1.4,1.6,0.2,3.9,2.6,1.4,0.7,0.6,1.9,23.3,1,0,8.3
102,Marcin Gortat,WAS,31,82,46,36,29.9,12.2,5.4,9.5,0,0,1.5,2.1,2.2,6.5,1.2,1.2,0.6,1.3,2.3,29.1,22,0,3.1
101,Jabari Parker,MIL,20,25,13,12,29.5,12.3,5.2,10.5,0.6,0.15,1.8,2.6,2,3.5,1.7,1.9,1.2,0.2,1.7,23.9,2,0,-4.6
100,Josh Smith,HOU,29,83,41,42,27.7,12.4,5,11.9,2.7,0.8532,1.5,3.1,1.8,4.6,3.3,2.5,1,1.4,2.7,29.9,15,0,0.2
99,Danilo Gallinari,DEN,26,59,23,36,24.2,12.4,3.9,9.6,5.1,1.8105,2.9,3.2,0.5,3.2,1.4,1,0.8,0.3,1.6,21.4,0,0,0.3
98,Nikola Pekovic,MIN,29,31,9,22,26.3,12.5,4.5,10.6,0,0,3.5,4.2,2.9,4.7,0.9,1.4,0.6,0.4,1.9,24.5,11,0,-1.8
97,Kenneth Faried,DEN,25,75,30,45,27.8,12.6,5,9.8,0.1,0.0125,2.7,3.8,3.2,5.7,1.2,1.6,0.8,0.8,2.8,28.3,26,0,-0.5
96,DeMarre Carroll,ATL,28,70,53,17,31.3,12.6,4.5,9.3,4.3,1.6985,1.8,2.6,1.4,3.9,1.7,1.1,1.3,0.2,2.2,25.2,3,0,3
95,Rodney Stuckey,IND,29,71,34,37,26.4,12.6,4.7,10.6,2,0.78,2.5,3,0.5,3,3.1,1.7,0.8,0.1,1.8,22.6,2,0,-0.3
94,Giannis Antetokounmpo,MIL,20,81,41,40,31.4,12.7,4.7,9.6,0.5,0.0795,3.2,4.3,1.2,5.5,2.6,2.1,0.9,1,3.1,28.3,10,0,0.1
93,Kentavious Caldwell-Pope,DET,22,82,32,50,31.5,12.7,4.8,11.9,5.4,1863,1.3,1.9,0.6,2.5,1.3,1.1,1.1,0.2,2,21.4,0,0,0.9
92,Trevor Ariza,HOU,29,82,56,26,35.7,12.8,4.5,11.1,6.8,2.38,1.5,1.7,0.9,4.7,2.5,1.7,1.9,0.2,2.3,27.8,3,0,2.8
91,Trey Burke,UTA,22,76,35,41,30.1,12.8,4.9,13.2,5.1,1.6218,1.4,1.9,0.4,2.3,4.3,1.6,0.9,0.2,1.6,24,3,0,-0.6
90,Deron Williams,BKN,31,68,34,34,31.1,13,4.4,11.3,3.5,1.2845,3,3.5,0.4,3.1,6.6,2.3,0.9,0.3,2.3,28.4,11,0,-0.2
89,Arron Afflalo,POR,29,78,35,43,32.1,13.3,4.8,11.3,4.3,1.5222,2.1,2.5,0.3,2.8,1.7,1.5,0.5,0.1,2.1,19.9,0,0,-0.3
88,Jared Sullinger,BOS,23,58,26,32,27,13.3,5.4,12.2,3.2,0.9056,1.7,2.2,2.5,5.1,2.3,1.3,0.8,0.7,2.6,29,12,0,-0.4
87,Khris Middleton,MIL,23,79,40,39,30.1,13.4,5.1,11,3.4,1.3838,1.7,2,0.6,3.8,2.3,1.4,1.5,0.1,2.3,25.7,1,0,4.1
86,Nick Young,LAL,30,42,12,30,23.8,13.4,4.1,11.3,5.4,1.9926,3.1,3.5,0.4,1.9,1,1,0.5,0.3,2,19,0,0,-1.6
85,Eric Gordon,NOP,26,61,35,26,33.1,13.4,4.7,11.4,5.2,2.3296,1.8,2.2,0.5,2.1,3.8,2,0.8,0.2,2.4,23.3,1,0,1.1
84,CJ Miles,IND,28,70,31,39,26.3,13.5,4.7,11.8,6.4,2208,1.9,2.3,0.3,2.8,1.1,1,0.9,0.4,1.9,21.4,1,0,2.3
83,Robert Covington,PHI,24,70,18,52,27.9,13.5,4.3,10.8,6.4,2.3936,2.5,3.1,0.9,3.6,1.5,1.8,1.4,0.4,2.7,24.8,1,0,-2.1
82,Shabazz Muhammad,MIN,22,38,6,32,22.8,13.5,5.1,10.4,1.3,0.5096,2.7,3.8,1.7,2.4,1.2,0.9,0.5,0.2,1.3,21.1,1,0,-4.2
81,Ryan Anderson,NOP,27,61,33,28,27.5,13.7,4.8,12,5.9,2006,2.1,2.5,1.8,3.1,0.9,1,0.5,0.3,1.9,22.4,3,0,-0.3
80,Andre Drummond,DET,21,82,32,50,30.5,13.8,6,11.7,0,0,1.7,4.5,5.3,8.1,0.7,1.5,0.9,1.9,3.5,37.7,48,0,-0.7
79,Alec Burks,UTA,23,27,9,18,33.3,13.9,4.5,11.1,2.5,955,3.9,4.8,0.7,3.5,3,1.9,0.6,0.2,2.4,24,2,0,-4.8
78,Tim Duncan,SAS,39,77,53,24,28.9,13.9,5.4,10.6,0.1,0.0286,3,4,2.2,6.9,3,1.7,0.8,2,2.1,36,33,1,4
77,Avery Bradley,BOS,24,77,37,40,31.5,13.9,5.6,13.2,4.6,1.6192,1,1.3,0.6,2.5,1.8,1.4,1.1,0.2,2.3,22.7,1,0,-1.1
76,Wilson Chandler,DEN,28,78,28,50,31.7,13.9,5.4,12.5,5.2,1.7784,1.4,1.8,1.2,4.9,1.7,1.4,0.7,0.4,3,25.7,8,0,-2.8
75,Luol Deng,MIA,30,72,33,39,33.6,14,5.1,10.9,3.1,1.1005,2.7,3.5,1.4,3.8,1.9,1.5,0.9,0.3,1.5,25.3,5,0,-0.1
74,Thaddeus Young,BKN,27,76,25,51,32,14.1,5.9,12.7,1.5,495,1.7,2.6,1.7,3.7,2.3,1.5,1.6,0.3,2.3,28.3,3,0,-2.8
73,Mo Williams,CHA,32,68,20,48,29.1,14.2,5,12.6,5.1,1.7442,2.4,2.8,0.3,2.2,6.2,2.5,0.7,0.2,2.4,26.7,13,0,-1.5
72,Serge Ibaka,OKC,25,64,35,29,33.1,14.3,5.8,12.3,3.2,1.2032,1.4,1.7,2.1,5.7,0.9,1.5,0.5,2.4,3,32.1,17,0,2.5
71,Tony Parker,SAS,33,68,48,20,28.7,14.4,5.9,12.2,1.3,0.5551,1.9,2.4,0.2,1.7,4.9,2.1,0.6,0,1.6,23.9,1,0,2.9
70,Joe Johnson,BKN,34,80,38,42,34.9,14.4,5.6,12.8,4.2,1.5078,1.8,2.2,0.7,4.1,3.7,1.7,0.7,0.2,1.5,26.7,3,0,-1.5
69,Reggie Jackson,DET,25,77,37,40,29.5,14.5,5.6,12.9,3.1,0.9269,2.4,2.8,0.7,3.5,6,2.4,0.8,0.1,2.2,29,15,2,1.5
68,Michael Carter-Williams,MIL,23,66,21,45,32.6,14.6,5.5,13.9,2.3,0.5405,3.1,4.4,1,4.4,6.7,3.8,1.7,0.5,2.5,33.7,11,3,-2.5
67,Jrue Holiday,NOP,25,40,20,20,32.6,14.8,6,13.4,3.4,1.2852,1.6,1.9,0.8,2.6,6.9,2.3,1.6,0.6,2.8,33.3,5,0,2.5
66,Andrea Bargnani,NYK,29,29,5,24,27.1,14.8,5.7,12.4,1.4,0.5124,3,3.7,1.1,3.3,1.6,1.4,0.1,0.9,1.8,24,2,0,-9.3
65,Jeff Green,MEM,28,78,41,37,31.5,15,5.3,12.4,3.7,1.2284,3.1,3.7,0.8,3.4,1.7,1.4,0.7,0.4,1.9,24.6,1,0,-1.7
64,Al Horford,ATL,29,76,56,20,30.5,15.2,6.8,12.7,0.5,153,1.4,1.9,1.7,5.4,3.2,1.3,0.9,1.3,1.6,33.9,14,1,3.8
63,Ty Lawson,DEN,27,75,29,46,35.5,15.2,5.4,12.3,2.7,0.9207,3.5,4.8,0.6,2.6,9.6,2.5,1.2,0.1,1.7,35,28,0,-0.4
62,Bradley Beal,WAS,22,63,37,26,33.5,15.3,5.8,13.5,4.1,1.6769,2.1,2.6,0.9,2.9,3.1,2,1.2,0.3,2.2,27,2,0,3
61,Markieff Morris,PHX,25,82,39,43,31.5,15.3,6.2,13.4,2.2,0.6996,2.2,2.8,1.3,4.8,2.3,2.1,1.2,0.5,3,29.3,12,0,1.3
60,Brandon Jennings,DET,25,41,17,24,28.6,15.4,5.3,13.2,5.1,1836,2.9,3.5,0.5,2,6.6,2.2,1.1,0.1,1.6,29.7,5,0,0.8
59,Enes Kanter,OKC,23,75,32,43,28.5,15.5,6.4,12.4,0.6,0.2136,2.4,3.1,3.7,5.3,0.7,1.9,0.5,0.4,2.5,28,31,0,-0.5
58,Lou Williams,TOR,28,80,48,32,25.2,15.5,4.7,11.6,5.6,1904,4.3,4.9,0.3,1.6,2.1,1.3,1.1,0.1,1.3,23.3,0,0,3.7
57,Chandler Parsons,DAL,26,66,41,25,33.1,15.7,5.8,12.6,5.3,2014,2.1,2.9,1,3.9,2.4,1.5,1,0.3,2.1,27.8,3,0,3.1
56,Dwight Howard,HOU,29,41,29,12,29.8,15.8,6.1,10.3,0,0,3.5,6.6,2.7,7.8,1.2,2.8,0.7,1.3,3.3,33.3,23,0,5.3
55,Jamal Crawford,LAC,35,64,44,20,26.6,15.8,5.2,13.1,5.7,1.8639,3.5,3.9,0.3,1.7,2.5,1.4,0.9,0.2,1.7,23.8,0,0,1.3
54,Mike Conley,MEM,27,70,47,23,31.8,15.8,5.6,12.6,4,1544,3.1,3.6,0.4,2.6,5.4,2.2,1.3,0.2,2,29.6,6,0,3.1
53,Greg Monroe,DET,25,69,25,44,31,15.9,6.1,12.4,0,0,3.7,4.9,3.3,6.9,2.1,2.2,1.1,0.5,2.1,34,35,0,-0.3
52,Jeff Teague,ATL,27,73,53,20,30.5,15.9,5.6,12.2,2.8,0.9604,3.8,4.4,0.4,2.1,7,2.8,1.7,0.4,1.9,33.1,10,0,5.3
51,Wesley Matthews,POR,28,60,41,19,33.7,15.9,5.6,12.5,7.4,2.8786,1.8,2.4,0.6,3.1,2.3,1.4,1.3,0.2,2.2,26.8,0,0,4.5
50,Derrick Favors,UTA,23,74,33,41,30.8,16,6.5,12.4,0.1,0.0167,3,4.5,2.6,5.6,1.5,1.6,0.8,1.7,2.8,33.9,23,0,0.8
49,George Hill,IND,29,43,26,17,29.5,16.1,5.9,12.4,4.5,1611,2.6,3.3,0.6,3.6,5.1,1.6,1,0.3,2.6,31.2,2,1,3.7
48,Zach Randolph,MEM,33,71,51,20,32.4,16.1,6.4,13.1,0.3,105,3.2,4.2,3.2,7.4,2.2,2.2,1,0.2,2.5,33.3,38,0,4.9
47,Darren Collison,SAC,27,45,16,29,34.8,16.1,5.8,12.2,3.6,1.3428,3.2,4.1,0.4,2.8,5.6,2.5,1.5,0.3,2.1,31.2,3,0,0.8
46,Goran Dragic,MIA,29,78,41,37,33.8,16.3,6.4,12.8,3.3,1.1451,2.3,3,1,2.5,4.5,2.2,1,0.2,2.5,28.7,4,0,0.3
45,JJ Redick,LAC,31,78,55,23,30.9,16.4,5.7,12,5.9,2.5783,2.3,2.6,0.3,1.9,1.8,1.2,0.5,0.1,1.7,22.2,0,0,8
44,Kevin Love,CLE,26,75,50,25,33.8,16.4,5.5,12.7,5.2,1.9084,3.4,4.3,1.9,7.9,2.2,1.6,0.7,0.5,1.9,33.4,38,0,5.3
43,Isaiah Thomas,BOS,26,67,40,27,25.8,16.4,5,11.9,5.2,1.9396,4.5,5.2,0.5,1.8,4.2,2.1,0.9,0.1,2.2,26.2,0,0,2.6
42,Kawhi Leonard,SAS,24,64,46,18,31.8,16.5,6.2,12.8,3,1047,3.2,3.9,1.3,5.9,2.5,1.5,2.3,0.8,2,36.6,14,0,6.9
41,Tyreke Evans,NOP,25,79,43,36,34,16.6,6.6,14.7,2.9,0.8816,2.6,3.7,1,4.2,6.6,3.1,1.3,0.5,2.5,34.9,18,1,2.1
40,Al Jefferson,CHA,30,65,25,40,30.6,16.6,7.5,15.5,0.1,0.04,1.7,2.5,1.5,6.9,1.7,1,0.7,1.3,2.1,34.4,22,0,-1.8
39,Paul Millsap,ATL,30,73,55,18,32.7,16.7,6.1,12.7,3,1068,3.5,4.6,1.9,5.9,3.1,2.3,1.8,0.9,2.8,36.5,15,0,5.6
38,Tony Wroten,PHI,22,30,4,26,29.8,16.9,5.8,14.5,4.7,1.2267,4,6,0.7,2.1,5.2,3.8,1.6,0.3,2.4,30,2,0,-7.8
37,Andrew Wiggins,MIN,20,82,16,66,36.2,16.9,6.1,13.9,1.5,465,4.3,5.7,1.6,2.9,2.1,2.2,1,0.6,2.3,28.3,2,0,-6.7
36,Brandon Knight,PHX,23,63,33,30,32.3,17,6,14.1,5.1,1.9839,3.1,3.5,0.4,3.4,5.2,3,1.4,0.2,1.8,31.3,2,0,-1.2
35,Eric Bledsoe,PHX,25,81,39,42,34.6,17,5.8,12.9,3.4,1.1016,4.4,5.4,0.9,4.3,6.1,3.4,1.6,0.6,2.3,35.4,13,2,0.4
34,Tobias Harris,ORL,22,68,20,48,34.8,17.1,6.5,14,3.5,1274,2.8,3.6,1.1,5.3,1.8,1.7,1,0.5,2,30.4,11,0,-4.3
33,Brook Lopez,BKN,27,72,34,38,29.2,17.2,7,13.7,0.1,0.01,3.1,3.8,3,4.5,0.7,1.4,0.6,1.8,2.9,32.7,17,0,-1.4
32,Dirk Nowitzki,DAL,37,77,47,30,29.6,17.3,6.3,13.8,3.6,1368,3.3,3.8,0.6,5.4,1.9,1.1,0.5,0.4,2.1,29,6,0,3.1
31,Kemba Walker,CHA,25,62,21,41,34.2,17.3,6.1,15.8,4.5,1368,3.8,4.6,0.6,3,5.1,1.6,1.4,0.5,1.5,33.5,4,0,-3
30,Marc Gasol,MEM,30,81,55,26,33.2,17.4,6.5,13.2,0.2,0.0352,4.3,5.4,1.4,6.4,3.8,2.2,0.9,1.6,2.6,37.7,20,0,2.8
29,John Wall,WAS,24,79,45,34,35.9,17.6,6.6,14.8,2.7,0.81,3.6,4.6,0.5,4.2,10,3.8,1.7,0.6,2.3,41.3,40,0,3.5
28,Derrick Rose,CHI,26,51,33,18,30,17.7,6.6,16.4,5.3,1484,3,3.7,0.7,2.5,4.9,3.2,0.7,0.3,1.2,28.8,4,0,2.4
27,Kyle Lowry,TOR,29,70,43,27,34.5,17.8,6.1,14.9,5.6,1.8928,3.6,4.5,0.8,3.9,6.8,2.5,1.6,0.2,3,36.3,13,2,2.9
26,Victor Oladipo,ORL,23,72,22,50,35.7,17.9,6.6,15.1,3.4,1.1526,3.6,4.4,0.7,3.5,4.1,2.8,1.7,0.3,2.6,32.1,3,0,-4.2
25,Pau Gasol,CHI,34,78,48,30,34.4,18.5,7.3,14.8,0.3,0.1386,3.8,4.7,2.8,9,2.7,2,0.3,1.9,1.9,41.3,54,0,2.4
24,Monta Ellis,DAL,29,80,50,30,33.7,18.9,7.5,16.9,3.6,1026,2.9,3.8,0.4,2,4.1,2.5,1.9,0.3,2.5,31.9,3,0,2.7
23,Chris Paul,LAC,30,82,56,26,34.8,19.1,6.9,14.3,4.3,1.7114,3.5,3.9,0.6,4,10.2,2.3,1.9,0.2,2.5,43.8,40,1,8.9
22,Gordon Hayward,UTA,25,76,35,41,34.4,19.3,6.4,14.3,4.3,1.5652,4.9,6.1,0.7,4.2,4.1,2.7,1.4,0.4,1.7,34.1,2,0,1.4
21,Nikola Vucevic,ORL,24,74,21,53,34.2,19.3,8.5,16.3,0.1,0.0333,2.2,2.9,3.2,7.7,2,2,0.7,0.7,3,37.8,45,0,-4.1
20,Kevin Martin,MIN,32,39,11,28,33.4,20,6.8,16,4.9,1.9257,4.4,4.9,0.5,3.2,2.3,1.9,0.8,0,1.9,28.4,0,0,-6.5
19,Jimmy Butler,CHI,25,65,40,25,38.7,20,6.5,14,3,1134,5.9,7.1,1.8,4.1,3.3,1.4,1.8,0.6,1.7,37.4,4,0,3.7
18,DeMar DeRozan,TOR,25,60,37,23,35,20.1,6.8,16.5,1.5,426,6,7.2,0.7,3.9,3.5,2.3,1.2,0.2,2,32.8,4,0,2.2
17,Damian Lillard,POR,24,82,51,31,35.7,21,7.2,16.6,7,2401,4.2,4.9,0.6,4,6.2,2.7,1.2,0.3,2,37.4,6,0,3.7
16,Rudy Gay,SAC,28,68,25,43,35.4,21.1,7.5,16.4,3.2,1.1488,5,5.8,1.4,4.4,3.7,2.7,1,0.6,2.3,35.9,2,0,-1.6
15,Chris Bosh,MIA,31,44,19,25,35.4,21.1,7.8,16.9,3.8,1425,4.1,5.3,1,6,2.2,2.2,0.9,0.6,1.6,35.1,7,0,-2.3
14,Dwyane Wade,MIA,33,62,28,34,31.8,21.5,8.2,17.5,1.6,0.4544,4.6,6,0.9,2.6,4.8,3.4,1.2,0.3,1.7,34.1,3,0,-0.9
13,Klay Thompson,GSW,25,77,64,13,31.9,21.7,7.8,16.9,7.1,3.1169,2.9,3.3,0.4,2.9,2.9,1.9,1.1,0.8,1.6,33.6,1,0,10.1
12,Kyrie Irving,CLE,23,75,52,23,36.4,21.7,7.7,16.5,5,2075,4.2,4.9,0.7,2.4,5.2,2.5,1.5,0.3,1.9,36.2,6,0,5.6
11,Blake Griffin,LAC,26,67,47,20,35.2,21.9,8.6,17.1,0.4,0.16,4.6,6.4,1.9,5.7,5.3,2.3,0.9,0.5,2.9,41.1,18,0,8.7
10,Kobe Bryant,LAL,36,35,10,25,34.5,22.3,7.6,20.4,5.3,1.5529,5.6,6.9,0.7,4.9,5.6,3.7,1.3,0.2,1.9,38.6,4,2,-8.4
9,LaMarcus Aldridge,POR,29,71,48,23,35.4,23.4,9.3,19.9,1.5,528,4.3,5.1,2.5,7.7,1.7,1.7,0.7,1,1.8,41.5,39,0,4.8
8,Stephen Curry,GSW,27,80,67,13,32.7,23.8,8.2,16.8,8.1,3.5883,3.9,4.2,0.7,3.6,7.7,3.1,2,0.2,2,44.1,23,0,11.5
7,DeMarcus Cousins,SAC,24,59,23,36,34.1,24.1,8.4,18.1,0.1,25,7.2,9.2,3.1,9.5,3.6,4.3,1.5,1.7,4.1,50.1,47,2,1
6,Carmelo Anthony,NYK,31,40,10,30,35.7,24.2,9,20.2,4.5,1.5345,4.7,5.9,1.8,4.8,3.1,2.2,1,0.4,2.2,38.7,5,0,-2.7
5,Anthony Davis,NOP,22,68,39,29,36.1,24.4,9.4,17.6,0.2,0.0166,5.5,6.8,2.5,7.7,2.2,1.4,1.5,2.9,2.1,51.8,42,0,3.9
4,LeBron James,CLE,30,69,50,19,36.1,25.3,9,18.5,4.9,1.7346,5.4,7.7,0.7,5.3,7.4,3.9,1.6,0.7,2,46.5,22,2,7.8
3,Kevin Durant,OKC,26,27,18,9,33.8,25.4,8.8,17.3,5.9,2.3777,5.4,6.3,0.6,6,4.1,2.7,0.9,0.9,1.5,42.1,5,0,6.2
2,James Harden,HOU,25,81,56,25,36.8,27.4,8,18.1,6.9,2.5875,8.8,10.2,0.9,4.7,7,4,1.9,0.7,2.6,48.6,21,4,4.1
1,Russell Westbrook,OKC,26,67,40,27,34.4,28.1,9.4,22,4.3,1.2857,8.1,9.8,1.9,5.4,8.6,4.4,2.1,0.2,2.7,52.3,31,11,3.7
