,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPA,TPM,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
372,Garrett Temple,WAS,29,52,28,24,14.1,3.9,1.3,3.3,1.7,0.6375,0.7,0.9,0.5,1.3,1.1,0.7,0.8,0.2,1.5,9.9,0,0,-0.9
371,Glen Davis,LAC,29,74,52,22,12.2,4,1.6,3.4,0.1,0,0.8,1.3,0.6,1.7,0.5,0.5,0.6,0.3,1.8,9.5,0,0,-1.1
368,Luke Ridnour,ORL,34,47,13,34,14.5,4,1.6,3.7,1.3,0.4121,0.4,0.4,0.2,1.3,2,0.8,0.4,0.1,1.4,9.5,0,0,-2.7
368,Samuel Dalembert,NYK,35,32,5,27,17,4,1.8,4.1,0,0,0.4,0.6,1.7,3.6,0.9,1.2,0.4,1.3,2.2,15.6,1,0,-5.5
368,Shannon Brown,MIA,29,5,3,2,17.8,4,1.4,3.8,1.4,0.6006,0.6,0.8,0,0.2,0.6,0.8,0.8,0,1.6,6.7,0,0,-3.2
367,Miles Plumlee,MIL,26,73,34,39,16.4,4,1.9,3.5,0,0,0.3,0.6,1.5,2.8,0.5,0.7,0.6,0.9,1.5,13.7,1,0,0
366,Luke Babbitt,NOP,26,63,34,29,13.2,4.1,1.5,3,1.8,0.9234,0.2,0.3,0.2,1.6,0.4,0.4,0.3,0.2,1,7.7,0,0,-1.6
365,Pablo Prigioni,HOU,38,67,25,42,17.9,4.1,1.4,3.4,2.5,0.8575,0.5,0.6,0.4,1.3,2.6,0.9,1.2,0,1.3,12.7,0,0,-1
364,James Michael McAdoo,GSW,22,15,11,4,9.1,4.1,1.6,2.9,0,0,0.9,1.7,1,1.5,0.1,0.4,0.3,0.6,1.4,9.7,0,0,0.6
363,Nick Collison,OKC,34,66,38,28,16.7,4.1,1.6,3.8,0.9,0.2403,0.7,1,1.4,2.4,1.4,0.7,0.5,0.4,2.4,12.8,0,0,1.3
362,Nick Calathes,MEM,26,58,36,22,14.4,4.2,1.8,4.3,0.7,0.1792,0.4,0.8,0.3,1.5,2.5,1.1,1.1,0.1,1.7,12.6,0,0,1.5
361,Lorenzo Brown,MIN,24,29,6,23,18.9,4.2,1.8,4.2,1,214,0.4,0.7,0.5,1.9,3.1,1,1,0.2,1.7,14.2,0,0,-3.2
360,Udonis Haslem,MIA,35,62,31,31,16,4.2,1.7,3.9,0.2,0.04,0.7,1,1.1,3,0.7,0.7,0.3,0.2,1.8,11.3,3,0,-2.5
359,Kendall Marshall,MIL,23,28,13,15,14.9,4.2,1.6,3.6,1.6,0.6256,0.3,0.3,0.1,0.9,3.1,1.3,0.8,0,0.9,11,0,0,2
358,Kostas Papanikolaou,HOU,24,43,29,14,18.5,4.2,1.6,4.6,2.5,0.73,0.3,0.4,0.9,1.8,2,1.3,0.7,0.3,1.7,12.1,0,0,-0.9
357,Josh McRoberts,MIA,28,17,8,9,17.4,4.2,1.6,3.1,1.1,0.4631,0.5,0.8,0.4,2.2,1.9,1.3,0.7,0.2,2.4,11.7,0,0,1.9
356,Toney Douglas,NOP,29,12,7,5,14.7,4.3,1.6,4.3,1.5,417,0.7,1.1,0.2,1.7,2,0.8,0.9,0.3,1.7,12.4,0,0,0.6
355,Spencer Dinwiddie,DET,22,34,12,22,13.4,4.3,1.5,5,1.9,0.3515,0.9,1,0.1,1.3,3.1,1,0.6,0.2,1.6,11.8,1,0,-2.1
354,Perry Jones III,OKC,23,43,23,20,14.7,4.3,1.7,4.3,1.4,0.3262,0.6,0.9,0.1,1.6,0.4,0.6,0.4,0.2,1.2,8.2,0,0,-3
353,Justin Holiday,GSW,26,59,49,10,11.1,4.3,1.5,4,1.8,0.5778,0.6,0.8,0.2,1,0.8,0.5,0.7,0.2,0.9,9.2,0,0,-0.2
352,Steve Blake,POR,35,81,51,30,18.9,4.3,1.5,4,2.7,0.9504,0.4,0.5,0.2,1.5,3.6,1.3,0.5,0.1,1.5,12.1,0,0,1.3
351,Ian Mahinmi,IND,28,61,28,33,18.8,4.3,1.9,3.5,0,0,0.5,1.7,1.7,4.1,0.5,1,0.5,0.8,2.8,14.9,2,0,-0.1
350,Festus Ezeli,GSW,25,46,39,7,10.9,4.4,1.7,3,0,0,1.1,1.7,1.3,2.1,0.2,0.7,0.2,0.9,1.7,11.2,0,0,0.3
349,Nik Stauskas,SAC,21,73,26,47,15.4,4.4,1.5,4.1,2,644,0.8,0.9,0.2,1.1,0.9,0.5,0.3,0.2,1.3,8.2,0,0,-1.8
348,Jeffery Taylor,CHA,26,29,11,18,14.8,4.4,1.6,3.9,1.2,0.3672,0.9,1.4,0.5,1.3,0.8,0.7,0.4,0,1.2,8.4,0,0,-4.4
347,Andre Miller,SAC,39,81,44,37,15.5,4.4,1.8,3.6,0.4,0.0824,0.7,1,0.5,1.4,3.5,1.3,0.4,0.1,1.3,12,1,0,-1.6
346,James Jones,CLE,34,57,35,22,11.7,4.4,1.3,3.5,3.1,1116,0.7,0.8,0.2,0.9,0.4,0.2,0.2,0.1,1.2,7.2,0,0,-1.9
345,Robbie Hummel,MIN,26,45,5,40,16.5,4.4,1.8,3.8,1.1,0.3454,0.5,0.6,0.7,2.3,0.6,0.4,0.4,0.2,1.9,10.1,2,0,-3.3
344,Alonzo Gee,POR,28,54,21,33,12.2,4.5,1.6,3.4,0.6,0.2226,1,1.4,0.7,1.1,0.5,0.6,0.6,0.1,1.1,9,0,0,-1.9
343,Arinze Onuaku,MIN,27,6,0,6,11.4,4.5,2,2.3,0,0,0.5,1.3,1.2,2.3,0.7,0.3,0.2,0.5,1,11.4,0,0,-3
342,Jon Leuer,MEM,26,63,45,18,13.1,4.5,1.9,4.3,0.5,0.1205,0.6,0.9,0.8,2.5,0.7,0.6,0.3,0.1,1.4,10.3,1,0,-0.4
341,Jannero Pargo,CHA,35,9,2,7,8.1,4.6,1.7,3.9,2.4,0.9816,0.2,0.2,0,0.3,0.9,0.3,0,0,0.9,6,0,0,-0.2
340,Dorell Wright,POR,29,48,28,20,12.3,4.6,1.5,4,2.3,874,0.7,0.9,0.3,2,0.9,0.4,0.4,0.2,1.1,10.2,0,0,1.6
339,Robert Sacre,LAL,26,67,19,48,16.9,4.6,1.9,4.6,0,0,0.8,1.2,1.3,2.1,0.8,0.5,0.4,0.6,1.8,12.6,0,0,-1
338,Markel Brown,BKN,23,47,23,24,16.6,4.6,1.6,4.5,1.4,0.3724,1,1.2,0.3,1.9,0.8,0.6,0.7,0.3,1.2,10.7,1,0,-0.5
337,JaVale McGee,DEN,27,23,8,15,11.1,4.6,1.8,3.4,0,0,1,1.4,0.8,1.9,0.1,0.8,0.1,0.9,1.3,10.1,0,0,-3
336,Sergey Karasev,BKN,21,33,12,21,16.8,4.6,1.6,4.1,1.6,0.4736,0.9,1.2,0.7,1.3,1.4,0.7,0.7,0,1.4,10.6,0,0,0.5
