,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPM,TPA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
199,Willy Hernangomez,NYK,23,72,27,45,18.4,8.2,3.4,6.5,0.1,0.2,1.3,1.7,2.4,4.6,7,1.3,1.4,0.6,0.5,2.1,20.3,11,0,-0.8
198,Caris LeVert,BKN,22,57,15,42,21.7,8.2,3,6.7,1,3.2,1.2,1.6,0.4,2.9,3.3,1.9,1,0.9,0.1,1.6,17,0,0,-1.6
197,Shawn Long,PHI,24,18,5,13,13,8.2,3.4,6.1,0.4,1.1,1.1,1.9,2.3,2.4,4.7,0.7,0.7,0.5,0.5,2.7,17.3,1,0,1.1
196,Troy Daniels,MEM,25,67,33,34,17.7,8.2,2.8,7.4,2.1,5.3,0.6,0.8,0.3,1.2,1.5,0.7,0.7,0.3,0.1,1.3,11.4,0,0,1.3
195,Joe Harris,BKN,25,52,10,42,21.9,8.2,3,7,1.6,4.3,0.7,0.9,0.3,2.5,2.8,1,1.1,0.6,0.2,2.3,14.3,0,0,-5.5
194,Norman Powell,TOR,24,76,47,29,18,8.4,3,6.7,0.7,2.3,1.7,2.1,0.3,1.9,2.2,1.1,0.9,0.7,0.2,1.7,14.3,0,0,1.1
193,Arron Afflalo,SAC,31,61,23,38,25.9,8.4,3,6.9,1,2.5,1.4,1.5,0.1,1.9,2,1.3,0.7,0.3,0.1,1.7,13.5,0,0,-4
192,Tyson Chandler,PHX,34,47,15,32,27.6,8.4,3.3,4.9,0,0,1.9,2.6,3.3,8.2,11.5,0.6,1.4,0.7,0.5,2.7,25.4,12,0,-1.6
191,Monta Ellis,IND,31,74,39,35,27,8.5,3.3,7.5,0.6,1.8,1.3,1.7,0.3,2.5,2.8,3.2,1.8,1.1,0.4,2,19,0,0,-1
190,Tony Snell,MIL,25,80,42,38,29.2,8.5,3.1,6.8,1.8,4.4,0.6,0.7,0.3,2.8,3.1,1.2,0.7,0.7,0.2,1.6,16,1,0,-1.5
189,JR Smith,CLE,31,41,25,16,29,8.6,3,8.7,2.3,6.6,0.2,0.4,0.4,2.3,2.8,1.5,0.6,1,0.3,1.9,17.2,0,0,1.8
188,Rondae Hollis-Jefferson,BKN,22,78,19,59,22.6,8.7,3,6.9,0.2,0.9,2.4,3.2,1.2,4.6,5.8,2,1.5,1.1,0.6,2.3,21.9,8,0,-3.4
187,Marreese Speights,LAC,29,82,51,31,15.7,8.7,3,6.7,1.3,3.4,1.5,1.7,1.1,3.5,4.5,0.8,0.8,0.3,0.5,2.8,16.8,4,0,-0.4
186,Al-Farouq Aminu,POR,26,61,33,28,29.1,8.7,3,7.6,1.1,3.5,1.6,2.2,1.3,6.1,7.4,1.6,1.5,1,0.7,1.7,23.6,4,0,0.4
185,Nerlens Noel,DAL,23,51,24,27,20.5,8.7,3.6,6.1,0,0,1.5,2.2,1.8,3.9,5.8,1,1,1.3,1,2.5,22.9,3,0,-1.6
184,Skal Labissiere,SAC,21,33,9,24,18.5,8.8,3.5,6.6,0.1,0.2,1.6,2.2,1.5,3.4,4.9,0.8,1.1,0.5,0.4,1.9,17.4,2,0,-1.2
183,DeMarre Carroll,TOR,30,72,44,28,26.1,8.9,3.1,7.6,1.5,4.4,1.2,1.6,0.9,2.9,3.8,1,0.8,1.1,0.4,2,18.7,2,0,1.6
182,JaMychal Green,MEM,27,77,40,37,27.3,8.9,3.2,6.5,0.7,1.9,1.7,2.2,2.2,4.9,7.1,1.1,1.2,0.6,0.4,3.2,21,10,0,-0.4
181,Doug McDermott,OKC,25,66,35,31,22.8,9,3.4,7.5,1.2,3.2,1.1,1.3,0.3,2.4,2.7,0.9,0.6,0.2,0.1,1.2,13.8,1,0,-0.4
180,Dahntay Jones,CLE,36,1,0,1,12,9,3,8,0,2,3,4,1,1,2,1,1,0,0,1,11.9,0,0,2
179,Evan Turner,POR,28,65,34,31,25.5,9,3.6,8.5,0.5,1.8,1.3,1.6,0.6,3.2,3.8,3.2,1.5,0.8,0.4,1.9,20.3,2,0,-2.7
178,Kelly Olynyk,BOS,26,75,49,26,20.5,9,3.5,6.8,0.9,2.6,1.2,1.6,1,3.8,4.8,2,1.3,0.6,0.4,2.8,19.4,2,0,0.2
177,Tony Allen,MEM,35,71,36,35,27,9.1,3.9,8.4,0.2,0.8,1.1,1.8,2.3,3.2,5.5,1.4,1.4,1.6,0.4,2.5,22.4,5,0,-0.1
176,Jodie Meeks,ORL,29,36,14,22,20.5,9.1,2.9,7.1,1.6,3.8,1.8,2.1,0.1,2,2.1,1.3,1,0.9,0.1,1.1,15.7,0,0,-2.8
175,Montrezl Harrell,HOU,23,58,39,19,18.3,9.1,3.9,5.9,0,0.1,1.3,2.1,1.4,2.4,3.8,1.1,0.8,0.3,0.7,2.2,17.7,3,0,1.8
174,Nene,HOU,34,67,47,20,17.9,9.1,3.7,5.9,0,0.1,1.7,2.9,1.4,2.8,4.2,1,1.1,0.8,0.6,2.4,18.8,0,0,2.9
173,Channing Frye,CLE,34,74,44,30,18.9,9.1,3.2,7,1.9,4.5,0.9,1,0.5,3.4,3.9,0.6,0.7,0.4,0.5,1.9,16.9,2,0,0.8
172,Jameer Nelson,DEN,35,75,34,41,27.3,9.2,3.6,8.1,1.4,3.6,0.6,0.8,0.4,2.2,2.6,5.1,1.7,0.7,0.1,2.6,20.7,4,0,1.7
171,Joe Johnson,UTA,36,78,47,31,23.6,9.2,3.5,8,1.4,3.3,0.8,1,0.4,2.7,3.1,1.8,0.9,0.5,0.2,1.2,16.9,0,0,1.5
170,Michael Kidd-Gilchrist,CHA,23,81,36,45,29,9.2,3.6,7.6,0,0.1,1.9,2.4,1.9,5,7,1.4,0.7,1,1,2.3,24.8,11,0,-0.1
169,Marquese Chriss,PHX,19,82,24,58,21.3,9.2,3.5,7.7,0.9,2.7,1.4,2.2,1.2,3.1,4.2,0.7,1.3,0.8,0.9,3.2,19.1,3,0,-4.7
168,Gerald Henderson,PHI,29,72,24,48,23.2,9.2,3.3,7.7,0.8,2.4,1.8,2.3,0.5,2.1,2.6,1.6,0.9,0.6,0.2,1.8,16,0,0,-4.3
167,Jeff Green,ORL,30,69,26,43,22.2,9.2,3.2,8.1,0.8,2.8,2.1,2.4,0.6,2.5,3.1,1.2,1.1,0.5,0.2,1.5,15.8,1,0,-4.3
166,Cory Joseph,TOR,25,80,49,31,25,9.3,3.7,8.3,0.6,1.7,1.2,1.5,0.6,2.3,2.9,3.3,1.4,0.8,0.2,1.8,19.4,1,0,0.5
165,Ish Smith,DET,28,81,37,44,24.1,9.4,4.1,9.2,0.3,1.3,0.9,1.3,0.3,2.6,2.9,5.2,1.4,0.8,0.4,1.6,22.7,3,0,0.6
164,Brandon Ingram,LAL,19,79,26,53,28.9,9.4,3.5,8.7,0.7,2.4,1.7,2.7,0.8,3.2,4,2.1,1.5,0.6,0.5,2,19.1,0,0,-4.8
163,Michael Beasley,MIL,28,56,23,33,16.7,9.4,3.9,7.3,0.3,0.8,1.4,1.9,0.7,2.7,3.4,0.9,1.2,0.5,0.5,1.6,16.7,1,0,-0.7
162,Nik Stauskas,PHI,23,80,27,53,27.3,9.5,3.1,7.9,1.7,4.5,1.5,1.9,0.3,2.6,2.8,2.4,1.6,0.6,0.4,1.8,17.7,0,0,-2.4
161,Patty Mills,SAS,28,80,60,20,21.9,9.5,3.4,7.8,1.8,4.4,0.8,1,0.3,1.5,1.8,3.5,1.3,0.8,0,1.4,18.1,1,0,5.1
160,Derrick Favors,UTA,25,50,33,17,23.7,9.5,4.1,8.3,0.1,0.2,1.3,2.2,1.8,4.3,6.1,1.1,1.2,0.9,0.8,2.1,22.4,6,0,1.1
159,Patrick Beverley,HOU,28,67,46,21,30.7,9.5,3.4,8.1,1.6,4.3,1.1,1.4,1.4,4.4,5.9,4.2,1.5,1.5,0.4,3.3,26.9,6,0,5.3
158,E'Twaun Moore,NOP,28,73,32,41,24.9,9.6,3.9,8.5,1.1,2.8,0.8,1,0.5,1.6,2.1,2.2,0.8,0.7,0.4,1.8,18,0,0,-1.5
157,Kenneth Faried,DEN,27,61,29,32,21.2,9.6,3.7,6.8,0,0.1,2.1,3.1,3,4.6,7.6,0.9,1,0.7,0.7,2,23.2,11,0,-1
156,Jeremy Lamb,CHA,25,62,27,35,18.4,9.7,3.6,7.9,0.7,2.4,1.8,2.1,0.5,3.8,4.3,1.2,0.6,0.4,0.4,1.6,18.4,1,0,-0.6
155,Richaun Holmes,PHI,23,57,16,41,20.9,9.8,4,7.2,0.5,1.4,1.3,1.8,1.6,3.8,5.5,1,1,0.7,1,2.4,22,5,0,-4
154,Ty Lawson,SAC,29,69,25,44,25.1,9.9,3.4,7.6,0.5,1.7,2.5,3.1,0.6,2,2.6,4.8,1.9,1.1,0.1,1.7,21.9,3,1,-2.3
153,Jamal Murray,DEN,20,82,40,42,21.5,9.9,3.6,8.9,1.4,4.2,1.3,1.5,0.5,2.1,2.6,2.1,1.4,0.6,0.3,1.5,17.5,1,0,0.9
152,Shabazz Muhammad,MIN,24,78,29,49,19.4,9.9,3.7,7.7,0.6,1.9,1.9,2.4,1.1,1.7,2.8,0.4,0.7,0.3,0.1,1.1,14.3,1,0,-1
151,Gorgui Dieng,MIN,27,82,31,51,32.4,10,4,8.1,0.2,0.5,1.7,2,2.3,5.6,7.9,1.9,1.3,1.1,1.2,3.1,27.7,13,0,0.4
150,Trevor Booker,BKN,29,71,18,53,24.7,10,4.3,8.3,0.4,1.1,1,1.5,2,6,8,1.9,1.8,1.1,0.4,2.1,25.1,16,0,-4.7
149,Maurice Harkless,POR,24,77,38,39,28.9,10,4.1,8.1,0.9,2.5,1,1.6,1.6,2.8,4.4,1.1,1.1,1.1,0.9,2.8,22,2,0,0.6
148,Yogi Ferrell,DAL,24,46,18,28,26,10,3.5,8.6,1.5,3.8,1.6,1.9,0.4,2,2.4,3.7,1.5,0.9,0.2,2,20.4,0,0,-2.5
147,Kyle Korver,CLE,36,67,33,34,26.2,10.1,3.6,7.7,2.4,5.4,0.6,0.6,0.1,2.7,2.8,1.6,1,0.5,0.3,1.6,17.3,0,0,-2.5
146,Tony Parker,SAS,35,63,46,17,25.2,10.1,4.2,9,0.4,1.1,1.3,1.9,0.1,1.7,1.8,4.5,1.4,0.5,0,1.5,19.4,0,0,2.8
145,Josh Richardson,MIA,23,53,23,30,30.5,10.2,3.8,9.7,1.4,4.3,1.1,1.5,0.7,2.5,3.2,2.6,1.2,1.1,0.7,2.5,22.3,0,0,0.1
144,Jusuf Nurkic,POR,22,65,34,31,21.4,10.2,4.2,8.2,0,0,1.8,3.2,2.4,4.8,7.2,1.9,2.2,0.8,1.1,2.5,25.2,13,0,-0.8
143,Draymond Green,GSW,27,76,62,14,32.5,10.2,3.6,8.6,1.1,3.5,2,2.8,1.3,6.6,7.9,7,2.4,2,1.4,2.9,38,17,5,10.8
141,Jon Leuer,DET,28,75,34,41,25.9,10.2,4.1,8.6,0.7,2.2,1.3,1.5,1.4,4,5.4,1.5,0.9,0.4,0.3,1.9,20.3,3,0,-1
141,Malcolm Brogdon,MIL,24,75,38,37,26.4,10.2,3.9,8.5,1,2.6,1.5,1.7,0.6,2.2,2.8,4.2,1.5,1.1,0.2,1.9,22.3,2,1,1.2
140,Tyreke Evans,SAC,27,40,17,23,19.7,10.3,3.8,9.3,1.1,3,1.7,2.3,0.3,3.1,3.4,3.1,1.5,0.9,0.2,1.5,20.8,0,0,-3.8
139,Cody Zeller,CHA,24,62,33,29,27.8,10.3,4.1,7.1,0,0,2.1,3.2,2.2,4.4,6.5,1.6,1,1,0.9,3,25.3,6,0,3.4
138,Robin Lopez,CHI,29,81,40,41,28,10.4,4.7,9.6,0,0,0.9,1.3,3,3.4,6.4,1,1.1,0.2,1.4,1.9,23.4,8,0,0.9
137,Mason Plumlee,DEN,27,81,38,43,26.5,10.4,4.1,7.7,0,0.1,2.1,3.7,2.1,5.4,7.5,3.5,1.7,0.9,1.1,2.8,28.9,19,0,0
136,Wayne Ellington,MIA,29,62,35,27,24.2,10.5,3.7,9,2.4,6.4,0.6,0.7,0.3,1.8,2.1,1.1,0.5,0.6,0.1,1.1,16.1,0,0,1.4
135,Marco Belinelli,CHA,31,74,34,40,24,10.5,3.6,8.3,1.4,3.8,2,2.3,0.2,2.2,2.4,2,0.9,0.6,0.1,1.2,17.6,1,0,0.6
134,Buddy Hield,SAC,24,82,31,51,23,10.6,4,9.4,1.8,4.6,0.8,0.9,0.4,2.9,3.3,1.5,1.2,0.5,0.1,1.4,17.2,0,0,-2.6
133,Marcus Smart,BOS,23,79,51,28,30.4,10.6,3.4,9.5,1.2,4.2,2.6,3.2,1,2.9,3.9,4.6,2,1.6,0.4,2.4,26.1,2,0,1.6
132,Nikola Mirotic,CHI,26,70,37,33,24,10.6,3.7,8.9,1.8,5.4,1.4,1.8,0.9,4.6,5.5,1.1,1.1,0.8,0.8,1.8,22.3,8,0,2.8
131,Alex Poythress,PHI,23,6,0,6,26.1,10.7,4.2,9,1,3.2,1.3,1.7,1.8,3,4.8,0.8,0.5,0.5,0.3,2.3,19.7,0,0,-6
130,Allen Crabbe,POR,25,79,39,40,28.5,10.7,3.8,8.2,1.7,3.8,1.3,1.6,0.2,2.6,2.9,1.2,0.8,0.7,0.3,2.2,17.9,0,0,-1.5
129,CJ Miles,IND,30,76,39,37,23.4,10.7,3.7,8.5,2.2,5.4,1.1,1.2,0.4,2.6,3,0.6,0.5,0.6,0.3,2,17.6,0,0,1
128,Marcin Gortat,WAS,33,82,49,33,31.2,10.8,4.8,8.2,0,0,1.3,1.9,2.9,7.5,10.4,1.5,1.5,0.5,0.7,2.6,27.7,36,0,2.5
127,Terrence Jones,MIL,25,54,20,34,23.5,10.8,4.3,9.1,0.4,1.4,1.9,3.1,1.2,4.5,5.7,1.1,0.9,0.7,1,1.2,23.6,6,0,-1.1
126,Courtney Lee,NYK,31,77,29,48,31.9,10.8,4.2,9.1,1.4,3.5,1.1,1.3,0.7,2.7,3.4,2.3,0.9,1.1,0.3,1.8,21.6,0,0,-3
125,Taj Gibson,OKC,32,78,41,37,25.5,10.8,4.7,9.1,0,0.2,1.4,2,2,4.2,6.2,0.9,1.3,0.5,0.8,2.1,22.4,11,0,0
124,J.J. Barea,DAL,33,35,11,24,22,10.9,4.1,9.8,1.5,4.2,1.3,1.5,0.3,2.1,2.4,5.5,1.8,0.4,0,0.9,21.5,0,0,0.3
123,Justise Winslow,MIA,21,18,4,14,34.7,10.9,4.4,12.5,0.4,1.9,1.6,2.6,1.3,3.9,5.2,3.7,1.8,1.4,0.3,2.9,26.2,1,0,-0.3
122,Deron Williams,CLE,33,64,25,39,25.9,11,4.1,9.4,1.3,3.7,1.4,1.7,0.2,2.1,2.3,5.6,2.2,0.5,0.1,2.2,21.8,3,0,-1.5
121,Emmanuel Mudiay,DEN,21,55,25,30,25.6,11,3.8,10,1,3.2,2.4,3,0.5,2.7,3.2,3.9,2.2,0.7,0.2,1.7,21.5,1,0,-2.4
120,Kent Bazemore,ATL,27,73,39,34,26.9,11,4,9.9,1.3,3.6,1.6,2.3,0.6,2.5,3.2,2.4,1.7,1.2,0.7,2.3,22.6,1,0,-1.5
117,Jerryd Bayless,PHI,28,3,1,2,23.8,11,3.7,10.7,0.7,1.7,3,3.3,1,3,4,4.3,3,0,0,1.3,19.3,0,0,-7
117,Terrence Ross,ORL,26,78,39,39,25.1,11,4.2,9.6,1.8,5,0.8,1,0.2,2.4,2.6,1.1,0.9,1.1,0.4,1.8,19.6,0,0,1.6
117,Thaddeus Young,IND,29,74,40,34,30.2,11,4.9,9.3,0.6,1.6,0.6,1.2,1.8,4.3,6.1,1.6,1.3,1.5,0.4,1.8,25.2,7,0,0.9
116,Brandon Knight,PHX,25,54,16,38,21.1,11,3.9,9.7,0.8,2.6,2.4,2.9,0.5,1.7,2.2,2.4,1.6,0.5,0.1,1.6,17.4,0,0,-6
115,Ricky Rubio,MIN,26,75,28,47,32.9,11.1,3.5,8.7,0.8,2.6,3.4,3.8,0.9,3.2,4.1,9.1,2.6,1.7,0.1,2.7,32.6,25,1,-0.1
114,Marvin Williams,CHA,31,76,32,44,30.2,11.2,3.9,9.3,1.6,4.7,1.7,2,1.2,5.4,6.6,1.4,0.8,0.8,0.7,1.8,24.8,11,0,-0.4
113,Steven Adams,OKC,23,80,47,33,29.9,11.3,4.7,8.2,0,0,2,3.2,3.5,4.2,7.7,1.1,1.8,1.1,1,2.4,26.6,16,0,2.4
112,Frank Kaminsky,CHA,24,75,31,44,26.1,11.7,4.3,10.7,1.5,4.7,1.6,2.1,0.8,3.7,4.5,2.2,1,0.6,0.5,1.9,22.5,4,0,0.6
111,Trevor Ariza,HOU,32,80,53,27,34.7,11.7,4.1,10,2.4,6.9,1.2,1.6,0.7,5.1,5.7,2.2,0.9,1.8,0.3,1.7,27.2,3,0,4.6
110,Greg Monroe,MIL,27,81,42,39,22.5,11.7,4.8,9,0,0,2.2,3,2.1,4.5,6.6,2.3,1.7,1.1,0.5,2.1,26.2,13,0,1.7
109,Jahlil Okafor,PHI,21,50,15,35,22.7,11.8,4.8,9.4,0,0,2.1,3.2,1.6,3.2,4.8,1.2,1.8,0.4,1,2.4,21.6,2,0,-6.4
108,Jonas Valanciunas,TOR,25,80,50,30,25.8,12,4.9,8.8,0,0,2.2,2.7,2.8,6.7,9.5,0.7,1.3,0.5,0.8,2.7,26.9,29,0,1.4
107,Austin Rivers,LAC,24,74,43,31,27.8,12,4.4,9.9,1.5,4,1.8,2.6,0.3,1.9,2.2,2.8,1.6,0.6,0.1,2.5,19.6,0,0,-0.1
106,Jamal Crawford,LAC,37,82,51,31,26.3,12.3,4.4,10.6,1.4,3.9,2.1,2.5,0.2,1.4,1.6,2.6,1.6,0.7,0.2,1.4,19.2,0,0,0.3
105,Pau Gasol,SAS,36,64,47,17,25.4,12.4,4.7,9.4,0.9,1.6,2,2.9,1.7,6.2,7.8,2.3,1.3,0.4,1.1,1.7,28.4,11,0,3.5
104,Clint Capela,HOU,23,65,44,21,23.9,12.6,5.6,8.7,0,0,1.4,2.7,2.7,5.4,8.1,1,1.3,0.5,1.2,2.8,27.6,15,0,3.3
103,Rodney Hood,UTA,24,59,40,19,27,12.7,4.6,11.3,1.9,5.2,1.5,1.9,0.3,3.2,3.4,1.6,1.1,0.6,0.2,2.2,20.6,0,0,1.8
102,DeAndre Jordan,LAC,28,81,51,30,31.7,12.7,5.1,7.1,0,0,2.5,5.2,3.7,10.1,13.8,1.2,1.4,0.6,1.7,2.6,36.4,41,0,5.6
